label,page,item_index,list_title,publish,detail_url,title,text
xianfa,1,1,1. 波恩憲法分裂德國 德共產黨代表拒絕簽字,申報 日期：1949-05-26 版次/卷期：02 版 新華社北平廿五日電,https://z.library.sh.cn/http/80/10.1.30.77/yitlink/tm/tm_shownews.php?id=A2013040227679&qrygroup=1&qrynewstype=SP&n=1,波恩憲法分裂德國 德共產黨代表拒絕簽字,美英法集團一手製造的分裂主義的「憲法」，已於廿三日在波恩製憲議會的末次會議上宣佈生效。 各左翼黨國，包括基督敎社會黨聯盟，德意志黨，和許多以前反對波恩「憲法」的議員，在美英指使下，已在彼恩﹁憲法」上簽字，但西德共產黨代表曾曼和倫奈均拒絕簽字。 倫奈宣稱，「我決不為分裂德國而簽字，」製憲識會在波恩「憲法」經西德各州州長簽字宣佈生效後已行解散。西德製憲議會是去年由美英法三國佔領當局根據去年六月第一次倫敦六國〔包括美英法荷比盧〕會議組成的，包括各方政治領袖六十五人，絕大部分為反動份子，其目的就在制定一部分裂德國·肢解德國·並淪德國為美國殖民地的「憲法」。波恩「憲法」的特點是規定西德為「聯邦共和國」，把主要的權力賦與分裂的各州，中央政府則僅有次要的職權，以便於美國的統治。波恩「憲法」具有顯然出買德國主權的條文，規定可以放棄某些主權，以參加歐洲合眾國及其他國際組織。波恩「憲法」也毫不掩飾其法西斯的本質，規定政府得宜佈所謂攻擊「民主自由」的政黨為非法，實際上保證了反動政府鎮壓人民的自由。此外波恩「憲法」規定西德議會為兩院制，上院議員由各州政府選派，下院議員由選舉產生，共四百人，任期四年。總統由兩院聯席會議選舉，總理由下院選舉。
xianfa,1,2,2. 美助日本 充實警力,申報 日期：1949-05-26 版次/卷期：02 版 聯合社華盛頓廿四日電,https://z.library.sh.cn/http/80/10.1.30.77/yitlink/tm/tm_shownews.php?id=A2013040227681&qrygroup=1&qrynewstype=SP&n=2,美助日本 充實警力,國務院新聞處長懷德今日聲明稱，主管當局正在研究計劃使日本得備有更充分之警力，惟絕無意准其重建任何國際兵力。盡人皆知日本現有警察不足以維持國內治安。外間報載美國官員正在積極研究重建日本國防部隊，此與日本戰後憲法及遠東委員會所決定之政策抵觸。國務院即發表上項聲明加以否認。
xianfa,1,3,3. 關於德國未來問題 蘇聯將實行攤牌 維辛斯基在外長會中發表演說,申報 日期：1949-05-25 版次/卷期：01 版 本報訊,https://z.library.sh.cn/http/80/10.1.30.77/yitlink/tm/tm_shownews.php?id=A2013040227629&qrygroup=1&qrynewstype=SP&n=3,關於德國未來問題 蘇聯將實行攤牌 維辛斯基在外長會中發表演說,巴黎廿四日廣播：四強外長會議第二次會議於廿四日下午二時三十分〔世界標準時間〕在玫瑰大理石宮舉行。 美駐德副軍事總督胡勃納由德抵此，隨同艾契遜出席本日會議，預料維辛斯基對於有關德國問題之蘇聯新政策將實行攤牌。西方列強擬在二次會議中給予維氏機會，以說明其對於德國未來問題究竟作何打算。 〔合衆社巴黎廿四日電〕四強外長會議將於今日下午二時卅分格林威治時間，〔上海時間下午十一時卅分〕進入最緊要階段。四國外長在同意議程以後，卽將着手處理議程第一項：德國政治經濟統一問題，並包括盟國佔領諸問題。西方外長等待維辛斯基關於此一問題的開幕演說，俾使渠等獲得概念，卽蘇聯是否將利用此次會議繼續其宣傳攻勢，抑的確準備談判。維辛斯基的演說，將使其有機會透露蘇聯的要求，據一般揣測，此等要求將為：〔一〕一切駐德佔領軍及早撤退。〔東歐國家在華沙會議時卽有此建議〕。〔二〕西方國家計劃。〔按西德憲法業在廿三日被批准，西德國的建立已不啻為旣成事實，雖然政府及議會均將遲至七月間選舉成立〕。〔三〕西方國家放鬆渠等對東德貿易的限制。〔許多人都認為此卽促使蘇聯解除柏林封鎖的主因〕。西方國家在德國未成為和平的民主國家，及其他歐洲國家免於侵略的安全未獲保障前，對任何及早結束佔領的計劃，必然將予拒絕。西方外長對維辛斯基關於日本的建議，則並不重視。
xianfa,1,4,4. 德共和國再生 波恩城懸旗誌慶,申報 日期：1949-05-25 版次/卷期：01 版 路透社波恩城廿三日電,https://z.library.sh.cn/http/80/10.1.30.77/yitlink/tm/tm_shownews.php?id=A2013040227626&qrygroup=1&qrynewstype=SP&n=4,德共和國再生 波恩城懸旗誌慶,西德制憲議會已於今日正式公布德國聯邦共和國之憲法，其時正為四強外長會在巴黎揭幕之時。當各議員除兩共黨議員外一一簽名畢，乃一齊起立高唱德國國歌，有興奮至於淚下者。議長阿諾爾表示此一憲法之成立，為德國民族史新時代的開始。並曰：曾在一九三三年以至一九四三年德國消失過程中生存之人，今日重睹德國之再生，誠不禁興奮。波恩全市今日均懸掛黑紅金黃三色之前德國威瑪共和國國旗，郵局亦特出紀念郵票。憲法內容將在新共和國第一期官報中刊載。
xianfa,1,5,5. 波恩憲法正式公布實施 西德共和國誕生 政府與國會三個月內舉行選舉,申報 日期：1949-05-24 版次/卷期：02 版 本報訊,https://z.library.sh.cn/http/80/10.1.30.77/yitlink/tm/tm_shownews.php?id=A2013040227531&qrygroup=1&qrynewstype=SP&n=5,波恩憲法正式公布實施 西德共和國誕生 政府與國會三個月內舉行選舉,倫敦廿三日廣播：波恩訊：德國制憲議會廿三日將新憲法公佈施行，西德聯邦共和國於焉正式誕生。西德聯邦將包括美·英·法佔領區內之各邦，但門戶依然洞開，等待蘇佔區各邦之加入。惟衆料蘇聯佔領狀態存在一天，東德將繼續留於戶外一天。制定憲法之政治家七十人將宣布解散議會。新共和國政府及國會將於今後三個月內舉行選舉。柏林並不包括在新聯邦以內，但得派遣代表列席國會旁聽。非共產黨員八十八人簽署新憲法，儀式簡單隆重。 〔法國新聞社弗蘭克福廿二日電〕波恩制憲議會將於星期一作最後一次會議，正式公佈憲法，規定成立西德聯邦共和國。屆時各地方議會主席及西方三盟國首長皆將出席。德國政界人士對此舉極為重視。彼等強調謂：西德憲法已經巴伐里亞以外之西德區各邦一致通過，且受西德各政黨之一致擁護，僅巴伐里亞之基督教社會黨與共黨為例外，此點可表示西德之團結。
xianfa,1,6,6. 戴高樂演說 抨擊波恩憲法 認為乃德意志之恢復,申報 日期：1949-05-24 版次/卷期：02 版 法國新聞社巴黎廿二日電,https://z.library.sh.cn/http/80/10.1.30.77/yitlink/tm/tm_shownews.php?id=A2013040227534&qrygroup=1&qrynewstype=SP&n=6,戴高樂演說 抨擊波恩憲法 認為乃德意志之恢復,戴高樂將軍今日在法國人民陣綫大會休會時演說，強調法國應恢復足夠之力量，以平衡德國之勢力。戴氏抨擊波恩之西德憲法，認為此乃德意志之恢復，且謂對大西洋公約在未獲輔助之措置前，不應予以批准。戴氏希望法德間能獲諒解。但謂，此種諒解，需有某種條件。而主要之條件，為法國應在法屬北非協助下重行強盛，以平衡新德國之力量，而使兩國間之經濟諒解可能實現。戴氏強調稱：法國應在其資源能力內恢復其經濟財政力量。大會休會時宣佈：該黨之對外政策，國防政策，及對法國同盟政策，皆與法政府不同，且攻擊政府在財政經濟社會各方面之屢次失敗。
xianfa,1,7,7. 波恩議會憲法 獲必要多數 西德最後一議會已通過,申報 日期：1949-05-23 版次/卷期：02 版 合衆社佛蘭克福廿一日電,https://z.library.sh.cn/http/80/10.1.30.77/yitlink/tm/tm_shownews.php?id=A2013040227447&qrygroup=1&qrynewstype=SP&n=7,波恩議會憲法 獲必要多數 西德最後一議會已通過,西德區十一個議會中最後一個議會—胡登保巴頓議會，廿一日以卅四對十六票通過波恩議會之憲法。該邦議會批准後，波恩憲法業已獲得必要多數。
xianfa,1,8,8. 西德選舉法 三強獲致協議,申報 日期：1949-05-21 版次/卷期：02 版 路透社法蘭克福十九日電,https://z.library.sh.cn/http/80/10.1.30.77/yitlink/tm/tm_shownews.php?id=A2013040227302&qrygroup=1&qrynewstype=SP&n=8,西德選舉法 三強獲致協議,此間法官方聲稱：法國政府以不得已的心情，決定批準西德聯邦議會之選舉法後，盟國間已就該選舉法獲致協議。法國政府批準該法之際，曾提出若干保留，聲明制憲議會所保留之若干權限，應於議會解散憲法公布後由邦總理行使。西方三強軍事副督今日在柏林開會，起草致西德邦總理之共同函，以通知此項決議。 〔合眾社慕尼黑二十日電〕巴威略議會頃以一〇一對六四票，九票棄權，拒絕波恩議會所草擬之西德憲法。西德十一聯邦中，四個聯邦議會業已通過波恩憲法。該憲法需要三分之二聯邦之批準。巴威略乃第一個拒絕該憲法之聯邦，惟巴威略議會決定如其他三分之二聯邦通過該憲法，則巴議會亦將予以接受。同時巴威略議會并一致通過一建議，要求美軍政府將德憲法問題交人民投票。
xianfa,1,9,9. 蘇報強調四國善意合作 為和平主要條件 此一合作路徑將由外長會中獲得,申報 日期：1949-05-20 版次/卷期：02 版 路透社莫斯科十九日電,https://z.library.sh.cn/http/80/10.1.30.77/yitlink/tm/tm_shownews.php?id=A2013040227236&qrygroup=1&qrynewstype=SP&n=9,蘇報強調四國善意合作 為和平主要條件 此一合作路徑將由外長會中獲得,莫斯科新時代週報評稱：諸強國之合作為持久和平主要的條件，而重建此一合作的路徑，現已十分明顯，如欲下屆討論德國問題之外長會議獲得成功，則西方國家，必須放棄其恐嚇武斷的方法。所謂波恩憲法之迅速草成及西德臨時政府之匆遽設立，頗足使人懷疑，須知類似的製造旣成事實的企圖，對其作者決不有何裨益，因為世界人士莫不皆知任何政治或國際問題，決非戰爭所能解決，在下屆外長會中雙方務必出以善意。柏林問題為德國問題完整的一部，雅爾達及波茨坦協定為解決德國問題的基礎。蘇聯始終相信，柏林以及德國問題，須用四國談判的方式始能獲得解決。
xianfa,1,10,10. 克萊自德返抵華府 深受官方盛大歡迎，并接受橡葉勳章。,申報 日期：1949-05-19 版次/卷期：02 版 美國新聞處華盛頓十七日電,https://z.library.sh.cn/http/80/10.1.30.77/yitlink/tm/tm_shownews.php?id=A2013040227164&qrygroup=1&qrynewstype=SP&n=10,克萊自德返抵華府 深受官方盛大歡迎，并接受橡葉勳章。,克萊將軍於一生為國服務卓著勛績後，頃已返國退休，渠受到一個英雄的歡迎。克萊係自德國返美。彼任德境美軍長官四年，甫於五月十五日卸職，官方立卽準備予以歡迎并舉行儀式。 此一四星上將自一九一八年前任軍職，於第二次大戰時負責美陸軍供應計劃。渠在德國最傑出之成就厥為創始空軍偉業。在蘇聯實施陸上封鎖，截斷正常陸上供應路綫後，柏林憑籍空運，獲得糧食，燃料，藥品及其他重要必需品至三百廿八日之久。克來常圖擺脫現職，以便息隱，但因政府以其職位重要，未允所請，直至最近始準其辭職。克萊在記者招待會告發問者稱：茍蘇聯再度實施柏林封鎖，則渠將大感驚詫，蓋蘇聯不能不顧及因此所引起之全世界不利的反響也。美國表明其意向，「繼續吾人合作，支持柏林空運，支持歐洲復興，并支援西歐安全公約，此等行動已獲得西歐信任。二年前之緊張狀態今日已不復存在」。克萊將此點歸功於人民對美國愿意支援西方國家復原一事之態度。克萊表示信念：「吾人如在目前或不久之將來撤退吾人之佔領軍，實為不智之舉」。渠力言：佔領軍之撤退必須在歐洲局勢穩定以後方可實行。某一記者請求詳論最近完成之東德投票事，該處一千三百名以上之投票人對於蘇聯所圈定之候選人名單，均投反對票。克萊評稱：「此種投票表示任何極權國家中一種大有勇氣之行動」。關於外傳東德與西德政治家之會議，克萊承認此種會議已舉行數次。渠重述共黨控制之東德人士意圖誘勸西德人士拒絕設立西德政府之建議。但渠又稱：東德人士之失敗顯然由於議會理事所取之行動，該理事會對於西德，投票決定一種完全民主政府程序。當克萊抵達國民機塲由飛機中步下時，由軍人，航空員，水手及海員等組成之儀仗隊全體立正，并鳴炮示敬。國防部長約翰遜趨前與克萊握手歡迎，并表示美國人民對於「一種優良工作成績」之感激。在機塲歡迎之人員，除約翰遜外，尚有全國軍事組織之高級官員。數千私人公民亦熱烈歡迎克萊返國。克萊將軍及其夫人自飛機塲馳赴白宮，當卽由總統與杜魯門夫人予以歡迎。在白宮花園中，杜魯門以勳章贈予五十二歲西點大學出身之將軍，以示對渠「為國家人類出眾服務」之一種激賞，當時閣員國會領袖，軍事顯要與英法大使均在塲贈與克萊之出眾服務章為橡勳章。克萊獲得此種勳章已屬第三次。授勳之文告有言謂「已往，渠在協助武裝吾國軍隊方面曾有出眾成就，其後復因渠應付德國軍政府方面之困難工作而在其已往之成就上加上新的與不可磨滅之功績……德國方面之情形使渠之服務為不可缺少者，直至本年五月十五日始得準其退貨，良以在西德之憲法擬就後，渠之工作已達到一里程碑。渠之任務異常復雜與困難，而此項任務之完成乃國人將永遠引以自傲者。」克萊繼自白宮前往國會大廈，而獲有向參眾兩院發表演說之殊榮。 旁聽走廊內坐無虛隙。此一退休軍事長官步經眾院之長中央通廊，趲講臺前，群眾起立歡呼，克萊作臨時演說。渠告各眾議員稱：德國人民已「堅決致力」種政府之建立，此種政府維持人類個人之尊嚴」。克萊謂四強管制德國之失敗乃「由於吾人發現四國中之一國具有雙重目的」。渠并不隱瞞其所指者卽係蘇聯。據謂二項目的為：〔一〕取得最大額之賠償；〔二〕成立一獨被警察國家所控制或至少剝削之政府。在向參議院演說時，克萊指斥蘇聯曾圖阻撓歐復興并封鎖柏林。并稱，此乃由於蘇聯恐懼美國關於鞏固歐洲自由國家之計劃所致。據云：西歐對蘇聯可能侵略之恐懼心理，已由北大西洋公約之締結而告消散。西文國家兩年來圖與蘇聯合作，成立一全德之民主政府。但「吾人并未獲致共同立塲。吾人之目的未能實現，但在此敗挫中或竟造成吾人最大之勝利。吾人發現自由國家必須獲得支持，以防阻威脅民主生活方式之勢力侵襲」美國展開歐洲復興計劃之時，卽係達到高潮。大西洋公約之簽訂消弭西歐之對於侵略的恐懼心理。克蘋將於十九日前往紐約，接受官方歡迎。然後擬遄返其故居喬治亞州瑪麗他鎭。胡伯納中將繼克萊職，任德境美軍總司令。并將担任美軍事長官，直至美國根據三國對西德協定，指派一文職高級專員為止。
