dataset_label,dataset_index,source_labels,stage1_indices,representative_label,representative_item_index,select_reason,article_id,qrynewstype,publish_variant,date,issue_page,special_column,era_year,chinese_era_year,japanese_era_year,category,theme,collect_error,collision,collision_columns,h1,lv1_div,content_box2,analysis_text,analysis_text_rules
constitutional,1,zhixian,39957,zhixian,4200,7_small_index,A2012120747155,SP,申報,1872-08-20,05,,清同治11年 日明治5年,清同治11年,日明治5年,,,,F,,蘇省撫轅事宜,本報訊,十二日候選知縣白方泉辭囘鎭江下游厘局江藩憲牌示江浦縣員缺以大挑知縣齊鈐署理首府李請假二天○十三日知府楊靖禀知丁母憂又田祚謝八年海運保舉加三品銜同知施江措資囘並聞訃丁母憂坐補泰興縣張興詩銷同里厘局差知縣張衍疇奉委胥門盤查差又蘇升紀辭赴金陵見制憲又徐炳奎銷巡查差又李振欽歌奉委盤門水開盤查差訓導龔源達辭囘松江咨補吳縣縣丞許樹椅謝飭知赴任,蘇省撫轅事宜 十二日候選知縣白方泉辭囘鎭江下游厘局江藩憲牌示江浦縣員缺以大挑知縣齊鈐署理首府李請假二天○十三日知府楊靖禀知丁母憂又田祚謝八年海運保舉加三品銜同知施江措資囘並聞訃丁母憂坐補泰興縣張興詩銷同里厘局差知縣張衍疇奉委胥門盤查差又蘇升紀辭赴金陵見制憲又徐炳奎銷巡查差又李振欽歌奉委盤門水開盤查差訓導龔源達辭囘松江咨補吳縣縣丞許樹椅謝飭知赴任,2_drop_benbaoxun
constitutional,2,zhixian,39956,zhixian,4199,7_small_index,A2014050000140,SP,申報,1872-08-31,04,,清同治11年 日明治5年,清同治11年,日明治5年,,,,F,,蘇省撫轅事宜,本報訊,二十三日首府李請假一天 選授蘇太湖同知聶賡墀辭赴江寗見 制憲 同知徐承烜常熟騐收工程囘 委署震澤縣李慶雲辭赴任 知縣周光 七寶 又張葆濬閔行均 查塘工石料運竣囘 又陸嗣齡江寗見制憲囘 直州同陶甄海運津局囘並謝准補太倉州州同缺 從九孫廷枚奉委充當 學院文廵捕辭 分蘇試用從九羅志仁稟到 委署吳江同里司姚宗麟 金山縣與史陳儒修均辭赴任 丹陽呂城司張芳桐謝委,蘇省撫轅事宜 二十三日首府李請假一天 選授蘇太湖同知聶賡墀辭赴江寗見 制憲 同知徐承烜常熟騐收工程囘 委署震澤縣李慶雲辭赴任 知縣周光 七寶 又張葆濬閔行均 查塘工石料運竣囘 又陸嗣齡江寗見制憲囘 直州同陶甄海運津局囘並謝准補太倉州州同缺 從九孫廷枚奉委充當 學院文廵捕辭 分蘇試用從九羅志仁稟到 委署吳江同里司姚宗麟 金山縣與史陳儒修均辭赴任 丹陽呂城司張芳桐謝委,2_drop_benbaoxun
constitutional,3,zhixian,39955,zhixian,4198,7_small_index,A2013010336651,SP,申報,1872-09-02,05,,清同治11年 日明治5年,清同治11年,日明治5年,,,,F,,蘇省轅撫事宜,本報訊,二十四日同知蒯光烈同里厘局來辭准補吳縣葛兆堂金陵見制憲囘知縣何錫之辭囘上海又劉步瀛辭赴吳淞江工次又于椿齡江北措資囘又周裕请假赴寗見制憲又謝延庚王椿蔭張景良均奉文甄別考試吳縣縣丞許樹椅辭赴任縣丞馮肯堂泰興查案囘,蘇省轅撫事宜 二十四日同知蒯光烈同里厘局來辭准補吳縣葛兆堂金陵見制憲囘知縣何錫之辭囘上海又劉步瀛辭赴吳淞江工次又于椿齡江北措資囘又周裕请假赴寗見制憲又謝延庚王椿蔭張景良均奉文甄別考試吳縣縣丞許樹椅辭赴任縣丞馮肯堂泰興查案囘,2_drop_benbaoxun
constitutional,4,zhixian,39953,zhixian,4196,7_small_index,A2013010337414,SP,申報,1872-09-24,02,,清同治11年 日明治5年,清同治11年,日明治5年,,,,F,,猪仔遇救,本報訊,昨錄陳司馬之往東洋聞是奉道憲之命前赴查審馬利亞船所載廣東賣出外洋之傭工人今聞先因兩江督憲知有此事卽飭上海道臺派委官員速赴查究該出洋傭工人是否有拐騙等事且札飭此事不可省嗇資費宜將該船上一切人等悉數招徠上海逐一細查各種情節併根究各拐騙之姓名住址以便行文至廣東嚴行訪察搜拿惟現署両江督憲係藉隸廣東大凡粤人俱痛惡賣人出洋傭工之習今制憲此舉必欲使粤省移風易俗力將惡棍盡法懲治以重民命而除積弊聞此船係被大風吹至犬坂者及今當乘此會確究其中情弊則頹風可挽猶百姓不幸中之幸歟,猪仔遇救 昨錄陳司馬之往東洋聞是奉道憲之命前赴查審馬利亞船所載廣東賣出外洋之傭工人今聞先因兩江督憲知有此事卽飭上海道臺派委官員速赴查究該出洋傭工人是否有拐騙等事且札飭此事不可省嗇資費宜將該船上一切人等悉數招徠上海逐一細查各種情節併根究各拐騙之姓名住址以便行文至廣東嚴行訪察搜拿惟現署両江督憲係藉隸廣東大凡粤人俱痛惡賣人出洋傭工之習今制憲此舉必欲使粤省移風易俗力將惡棍盡法懲治以重民命而除積弊聞此船係被大風吹至犬坂者及今當乘此會確究其中情弊則頹風可挽猶百姓不幸中之幸歟,2_drop_benbaoxun
constitutional,5,zhixian,39954,zhixian,4197,7_small_index,A2013010337425,SP,申報,1872-09-24,05,,清同治11年 日明治5年,清同治11年,日明治5年,,,,F,,蘇省撫轅日報,本報訊,江寗牌示興化縣缺以請補之黃際淸豐縣缺以請補之古熹光先行署理十九日知府錢卿鉌辭囘昭文塘工松川沙同知陳辭同知張景芝辭囘常昭直州徐先路辭囘江陰又翁鳳翔盛澤厘卡知縣許子春辭赴昭文公幹縣丞孫榮壽奉糧道委守提常鎮兩屬册辭從九于福皆缷署太倉七浦司囘前閩浙制憲張於二十一日遊常熟虞山二十日崑山縣傳辭華亭縣張婁縣汪靑浦縣黎嘉定縣曾均到知縣周孚裕金陵見制憲囘縣丞史悠晋銷西南一叚巡查差從九史九成缷署昭文白苑司事囘知府江鴻解餉赴南京囘知縣周履祥奉飭甄別以繁缺補用由滬來試用復設訓導王兆樑吳江籍來府經歴鄧宗福缷署鎮江府知事囘府照磨袁海山常州來卽辭赴上海公幹縣丞馮樹勳缷署松江府知事並代理經歴事囘謝飭知准補武進縣丞缺典史態瑔銷華亭塘工差分蘇試用巡檢陳家模浙江人禀到,蘇省撫轅日報 江寗牌示興化縣缺以請補之黃際淸豐縣缺以請補之古熹光先行署理十九日知府錢卿鉌辭囘昭文塘工松川沙同知陳辭同知張景芝辭囘常昭直州徐先路辭囘江陰又翁鳳翔盛澤厘卡知縣許子春辭赴昭文公幹縣丞孫榮壽奉糧道委守提常鎮兩屬册辭從九于福皆缷署太倉七浦司囘前閩浙制憲張於二十一日遊常熟虞山二十日崑山縣傳辭華亭縣張婁縣汪靑浦縣黎嘉定縣曾均到知縣周孚裕金陵見制憲囘縣丞史悠晋銷西南一叚巡查差從九史九成缷署昭文白苑司事囘知府江鴻解餉赴南京囘知縣周履祥奉飭甄別以繁缺補用由滬來試用復設訓導王兆樑吳江籍來府經歴鄧宗福缷署鎮江府知事囘府照磨袁海山常州來卽辭赴上海公幹縣丞馮樹勳缷署松江府知事並代理經歴事囘謝飭知准補武進縣丞缺典史態瑔銷華亭塘工差分蘇試用巡檢陳家模浙江人禀到,2_drop_benbaoxun
constitutional,6,zhixian,39952,zhixian,4195,7_small_index,A2013010337647,SP,申報,1872-10-01,05,,清同治11年 日明治5年,清同治11年,日明治5年,,,,F,,蘇省撫轅日報,本報訊,二十六日前閩浙制憲張於二十五日游常熟虞山囘常鎮道李辭行知府崔繩祖江陰公幹囘又時乃風辭囘閔行吳縣高銷假太湖同知朱昭文縣孫均到南匯縣羅金壇縣汪均辭直州張振陛卸署丹陽縣事囘又吳葆俊奉飭知勞績拔署州縣一次通判錢慶琳辭囘上海知縣溫粹之謝委署金山縣事又許子春昭文公幹囘王恩錫辭回車坊聞得憲應於二十七日赴江震勘河工,蘇省撫轅日報 二十六日前閩浙制憲張於二十五日游常熟虞山囘常鎮道李辭行知府崔繩祖江陰公幹囘又時乃風辭囘閔行吳縣高銷假太湖同知朱昭文縣孫均到南匯縣羅金壇縣汪均辭直州張振陛卸署丹陽縣事囘又吳葆俊奉飭知勞績拔署州縣一次通判錢慶琳辭囘上海知縣溫粹之謝委署金山縣事又許子春昭文公幹囘王恩錫辭回車坊聞得憲應於二十七日赴江震勘河工,2_drop_benbaoxun
constitutional,7,zhixian,39951,zhixian,4194,7_small_index,A2013010337847,SP,申報,1872-10-07,05,,清同治11年 日明治5年,清同治11年,日明治5年,,,,F,,蘇省撫轅日報,本報訊,初二日分發江蘇補用道劉秉厚知府陳大誥均山東人由京來到又黎福保辭赴金陵見制憲同知吳道南奉委長元吳江震太湖等處查勘田畝差又高五雲宿遷提案囘知州杜文溥上海來上海縣葉到知縣桂正華靖江厘局來又楊鑑奉委赴鎭屬會勘田畝差又吳光清辭赴江震工次縣丞方廷鴻禀蒙以織署工程案内給予優差二次謝又朱澄元長吳等縣提奏銷准册囘准補吳縣典史沈鴻勛禀知接印從九宋維璋交署吳縣典史事牌示九月初五日換戴暖帽新任閩浙制憲李由京來任,蘇省撫轅日報 初二日分發江蘇補用道劉秉厚知府陳大誥均山東人由京來到又黎福保辭赴金陵見制憲同知吳道南奉委長元吳江震太湖等處查勘田畝差又高五雲宿遷提案囘知州杜文溥上海來上海縣葉到知縣桂正華靖江厘局來又楊鑑奉委赴鎭屬會勘田畝差又吳光清辭赴江震工次縣丞方廷鴻禀蒙以織署工程案内給予優差二次謝又朱澄元長吳等縣提奏銷准册囘准補吳縣典史沈鴻勛禀知接印從九宋維璋交署吳縣典史事牌示九月初五日換戴暖帽新任閩浙制憲李由京來任,2_drop_benbaoxun
constitutional,8,zhixian,39950,zhixian,4193,7_small_index,A2013010337888,SP,申報,1872-10-08,05,,清同治11年 日明治5年,清同治11年,日明治5年,,,,F,,蘇省撫轅日報,本報訊,二十九日直隸州善多上海來山西候補直隸州周天麟辭回山西正任崇明縣曹文煥辭赴金陵見制憲分缺間前補用縣丞趙爾樾南京來藩轅牌示於初六初七兩日考試臬憲應江震勘河工囘九月初一日行香文廟撫憲文昌太陽臬憲火神候補賈道風龍神首府武廟藩憲天后風雲雷雨候補江道劉猛將總捕呂祖管糧都廟長洲郡廟元和都土地吳縣甘泉縣以知縣馮譽騏署理九月初一日直州丁驤瀏河厘局來昭文縣孫奉賢縣王丹陽縣趙均辭知縣何紹章謝委署丹徒縣事並銷减賦全書輿局差又劉步瀛辭囘吳松江工次又勞承慶常昭內河厘局來代理府知廳俞世球蒙以織署工程案內給予優差二次禀謝府經余志仁解餉赴金陵囘奔牛司陳大梁交卸囘並謝調補太湖東山司禀知到任縣丞吳巽權解絲捐塘工經費囘又何霽光典史夏振嗣均辭囘上海縣丞孫炳奎銷洞庭絲捐差典史李椿壽銷蘇城捐絲差六品頂戴指蘇儘先補用主簿高道榮安徽人禀到蘇松太道沈於九月初九日壽辰候補府許大綬之老太太姚氏於九月十二日八旬壽辰,蘇省撫轅日報 二十九日直隸州善多上海來山西候補直隸州周天麟辭回山西正任崇明縣曹文煥辭赴金陵見制憲分缺間前補用縣丞趙爾樾南京來藩轅牌示於初六初七兩日考試臬憲應江震勘河工囘九月初一日行香文廟撫憲文昌太陽臬憲火神候補賈道風龍神首府武廟藩憲天后風雲雷雨候補江道劉猛將總捕呂祖管糧都廟長洲郡廟元和都土地吳縣甘泉縣以知縣馮譽騏署理九月初一日直州丁驤瀏河厘局來昭文縣孫奉賢縣王丹陽縣趙均辭知縣何紹章謝委署丹徒縣事並銷减賦全書輿局差又劉步瀛辭囘吳松江工次又勞承慶常昭內河厘局來代理府知廳俞世球蒙以織署工程案內給予優差二次禀謝府經余志仁解餉赴金陵囘奔牛司陳大梁交卸囘並謝調補太湖東山司禀知到任縣丞吳巽權解絲捐塘工經費囘又何霽光典史夏振嗣均辭囘上海縣丞孫炳奎銷洞庭絲捐差典史李椿壽銷蘇城捐絲差六品頂戴指蘇儘先補用主簿高道榮安徽人禀到蘇松太道沈於九月初九日壽辰候補府許大綬之老太太姚氏於九月十二日八旬壽辰,2_drop_benbaoxun
constitutional,9,zhixian,39949,zhixian,4192,7_small_index,A2013010337931,SP,申報,1872-10-09,04,,清同治11年 日明治5年,清同治11年,日明治5年,,,,F,,蘇省撫轅日報,本報訊,初三日新任閩浙制憲李辭行赴任知府江鴻奉委賦役全書輿圖局提調又厲學潮同知褚成績均辭赴徒陽河工又韋廷楨知州杜文溥均辭囘上海直州丁驤辭囘瀏河厘局通判吳恩曜奉委赴武陽鍚金知州馬松笙江宜荆知縣李渭常昭崑新均會勘荒熟田畝差又朱家襄奉札委驗收吳縣復聖祠工程差又劉承矩奉糧道委催提松屬嘉寳廳漕項銀両辭又李文燿武陽等八縣催提欠訓導張鴻卓松江來縣丞劉沛霖蒙以織署工程案內給予優差一次按經姜恩普邳州公幹囘又朱兆錡辭赴松滬釐局差委從九王師凱解餉赴淮辭又汪文藻請假赴滬措資同知銜同知直州用江蘇候班前先補用知縣李德培直人服滿同知銜分蘇試用知縣吳乃安湖州人均禀到知府江潮同知徐致和直州善多均辭囘上海知縣朱培深海州公幹囘分發補用直州韓慶雲鳳凰山辭差來調補太湖東山司陳大梁委署丹徒安港司盛金鑑均辭赴任從九許慶埏上海囘各戲園戲目告白,蘇省撫轅日報 初三日新任閩浙制憲李辭行赴任知府江鴻奉委賦役全書輿圖局提調又厲學潮同知褚成績均辭赴徒陽河工又韋廷楨知州杜文溥均辭囘上海直州丁驤辭囘瀏河厘局通判吳恩曜奉委赴武陽鍚金知州馬松笙江宜荆知縣李渭常昭崑新均會勘荒熟田畝差又朱家襄奉札委驗收吳縣復聖祠工程差又劉承矩奉糧道委催提松屬嘉寳廳漕項銀両辭又李文燿武陽等八縣催提欠訓導張鴻卓松江來縣丞劉沛霖蒙以織署工程案內給予優差一次按經姜恩普邳州公幹囘又朱兆錡辭赴松滬釐局差委從九王師凱解餉赴淮辭又汪文藻請假赴滬措資同知銜同知直州用江蘇候班前先補用知縣李德培直人服滿同知銜分蘇試用知縣吳乃安湖州人均禀到知府江潮同知徐致和直州善多均辭囘上海知縣朱培深海州公幹囘分發補用直州韓慶雲鳳凰山辭差來調補太湖東山司陳大梁委署丹徒安港司盛金鑑均辭赴任從九許慶埏上海囘各戲園戲目告白,2_drop_benbaoxun
constitutional,10,zhixian,39948,zhixian,4191,7_small_index,A2013010338592,SP,申報,1872-10-26,03,,清同治11年 日明治5年,清同治11年,日明治5年,,,,F,,猪仔解往金陵,本報訊,風聞屠兩江制憲何頃行文上海道憲合籽馬利亞古士船之傭人提出數名解送江密將自行審訊於此可見制憲愛尺之心而拐贩猪仔之害從此當可永除矣,猪仔解往金陵 風聞屠兩江制憲何頃行文上海道憲合籽馬利亞古士船之傭人提出數名解送江密將自行審訊於此可見制憲愛尺之心而拐贩猪仔之害從此當可永除矣,2_drop_benbaoxun
